protein_group_id,pocket_id,pocket_pdb,representative_protein_pdb,pocket_residue_count,merged_source_count,merged_source_ids_file,dataset_label
protein_group_000004,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000004/protein_group_000004_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000004/protein_group_000004_protein.pdb,117,1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000004/protein_group_000004_pocket-1_source_ids.txt,template
protein_group_000004,pocket-2,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000004/protein_group_000004_pocket-2.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000004/protein_group_000004_protein.pdb,75,159,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000004/protein_group_000004_pocket-2_source_ids.txt,template
protein_group_000004,pocket-3,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000004/protein_group_000004_pocket-3.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000004/protein_group_000004_protein.pdb,71,1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000004/protein_group_000004_pocket-3_source_ids.txt,template
protein_group_000004,pocket-4,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000004/protein_group_000004_pocket-4.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000004/protein_group_000004_protein.pdb,33,38,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000004/protein_group_000004_pocket-4_source_ids.txt,template
protein_group_000005,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000005/protein_group_000005_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000005/protein_group_000005_protein.pdb,131,157,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000005/protein_group_000005_pocket-1_source_ids.txt,template
protein_group_000005,pocket-2,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000005/protein_group_000005_pocket-2.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000005/protein_group_000005_protein.pdb,60,19,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000005/protein_group_000005_pocket-2_source_ids.txt,template
protein_group_000005,pocket-3,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000005/protein_group_000005_pocket-3.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000005/protein_group_000005_protein.pdb,16,1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000005/protein_group_000005_pocket-3_source_ids.txt,template
protein_group_000006,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000006/protein_group_000006_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000006/protein_group_000006_protein.pdb,111,113,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000006/protein_group_000006_pocket-1_source_ids.txt,template
protein_group_000006,pocket-2,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000006/protein_group_000006_pocket-2.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000006/protein_group_000006_protein.pdb,99,1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000006/protein_group_000006_pocket-2_source_ids.txt,template
protein_group_000006,pocket-3,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000006/protein_group_000006_pocket-3.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000006/protein_group_000006_protein.pdb,60,38,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000006/protein_group_000006_pocket-3_source_ids.txt,template
protein_group_000006,pocket-4,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000006/protein_group_000006_pocket-4.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000006/protein_group_000006_protein.pdb,31,1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000006/protein_group_000006_pocket-4_source_ids.txt,template
