protein_group_id,pocket_id,pocket_pdb,representative_protein_pdb,pocket_residue_count,merged_source_count,merged_source_ids_file,dataset_label
protein_group_002056,pocket-2,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002056/protein_group_002056_pocket-2.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002056/protein_group_002056_protein.pdb,35,1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002056/protein_group_002056_pocket-2_source_ids.txt,template
protein_group_002057,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002057/protein_group_002057_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002057/protein_group_002057_protein.pdb,73,2,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002057/protein_group_002057_pocket-1_source_ids.txt,template
protein_group_002057,pocket-2,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002057/protein_group_002057_pocket-2.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002057/protein_group_002057_protein.pdb,34,1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002057/protein_group_002057_pocket-2_source_ids.txt,template
protein_group_002058,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002058/protein_group_002058_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002058/protein_group_002058_protein.pdb,86,3,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002058/protein_group_002058_pocket-1_source_ids.txt,template
protein_group_002059,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002059/protein_group_002059_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002059/protein_group_002059_protein.pdb,99,3,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002059/protein_group_002059_pocket-1_source_ids.txt,template
protein_group_002060,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002060/protein_group_002060_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002060/protein_group_002060_protein.pdb,96,3,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002060/protein_group_002060_pocket-1_source_ids.txt,template
protein_group_002061,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002061/protein_group_002061_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002061/protein_group_002061_protein.pdb,42,2,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002061/protein_group_002061_pocket-1_source_ids.txt,template
protein_group_002061,pocket-2,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002061/protein_group_002061_pocket-2.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002061/protein_group_002061_protein.pdb,22,1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002061/protein_group_002061_pocket-2_source_ids.txt,template
protein_group_002062,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002062/protein_group_002062_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002062/protein_group_002062_protein.pdb,36,3,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002062/protein_group_002062_pocket-1_source_ids.txt,template
protein_group_002063,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002063/protein_group_002063_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002063/protein_group_002063_protein.pdb,49,3,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002063/protein_group_002063_pocket-1_source_ids.txt,template
protein_group_002064,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002064/protein_group_002064_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002064/protein_group_002064_protein.pdb,79,3,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002064/protein_group_002064_pocket-1_source_ids.txt,template
protein_group_002065,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002065/protein_group_002065_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002065/protein_group_002065_protein.pdb,113,3,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002065/protein_group_002065_pocket-1_source_ids.txt,template
protein_group_002066,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002066/protein_group_002066_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002066/protein_group_002066_protein.pdb,34,3,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002066/protein_group_002066_pocket-1_source_ids.txt,template
protein_group_002067,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002067/protein_group_002067_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002067/protein_group_002067_protein.pdb,34,3,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002067/protein_group_002067_pocket-1_source_ids.txt,template
protein_group_002068,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002068/protein_group_002068_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002068/protein_group_002068_protein.pdb,45,1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002068/protein_group_002068_pocket-1_source_ids.txt,template
protein_group_002068,pocket-2,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002068/protein_group_002068_pocket-2.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002068/protein_group_002068_protein.pdb,17,1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002068/protein_group_002068_pocket-2_source_ids.txt,template
protein_group_002068,pocket-3,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002068/protein_group_002068_pocket-3.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002068/protein_group_002068_protein.pdb,15,1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002068/protein_group_002068_pocket-3_source_ids.txt,template
protein_group_002069,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002069/protein_group_002069_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002069/protein_group_002069_protein.pdb,74,3,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002069/protein_group_002069_pocket-1_source_ids.txt,template
protein_group_002070,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002070/protein_group_002070_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002070/protein_group_002070_protein.pdb,76,3,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002070/protein_group_002070_pocket-1_source_ids.txt,template
protein_group_002071,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002071/protein_group_002071_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002071/protein_group_002071_protein.pdb,42,3,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002071/protein_group_002071_pocket-1_source_ids.txt,template
protein_group_002072,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002072/protein_group_002072_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002072/protein_group_002072_protein.pdb,77,3,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002072/protein_group_002072_pocket-1_source_ids.txt,template
protein_group_002073,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002073/protein_group_002073_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002073/protein_group_002073_protein.pdb,51,3,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002073/protein_group_002073_pocket-1_source_ids.txt,template
protein_group_002074,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002074/protein_group_002074_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002074/protein_group_002074_protein.pdb,100,3,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002074/protein_group_002074_pocket-1_source_ids.txt,template
protein_group_002075,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002075/protein_group_002075_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002075/protein_group_002075_protein.pdb,75,2,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002075/protein_group_002075_pocket-1_source_ids.txt,template
protein_group_002075,pocket-2,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002075/protein_group_002075_pocket-2.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002075/protein_group_002075_protein.pdb,38,1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002075/protein_group_002075_pocket-2_source_ids.txt,template
protein_group_002076,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002076/protein_group_002076_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002076/protein_group_002076_protein.pdb,81,3,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002076/protein_group_002076_pocket-1_source_ids.txt,template
protein_group_002077,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002077/protein_group_002077_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002077/protein_group_002077_protein.pdb,30,2,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002077/protein_group_002077_pocket-1_source_ids.txt,template
protein_group_002077,pocket-2,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002077/protein_group_002077_pocket-2.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002077/protein_group_002077_protein.pdb,26,1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002077/protein_group_002077_pocket-2_source_ids.txt,template
protein_group_002078,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002078/protein_group_002078_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002078/protein_group_002078_protein.pdb,91,3,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002078/protein_group_002078_pocket-1_source_ids.txt,template
protein_group_002079,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002079/protein_group_002079_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002079/protein_group_002079_protein.pdb,80,3,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002079/protein_group_002079_pocket-1_source_ids.txt,template
protein_group_002080,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002080/protein_group_002080_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002080/protein_group_002080_protein.pdb,67,1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002080/protein_group_002080_pocket-1_source_ids.txt,template
protein_group_002080,pocket-2,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002080/protein_group_002080_pocket-2.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002080/protein_group_002080_protein.pdb,58,2,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002080/protein_group_002080_pocket-2_source_ids.txt,template
protein_group_002081,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002081/protein_group_002081_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002081/protein_group_002081_protein.pdb,87,3,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002081/protein_group_002081_pocket-1_source_ids.txt,template
protein_group_002082,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002082/protein_group_002082_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002082/protein_group_002082_protein.pdb,100,2,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002082/protein_group_002082_pocket-1_source_ids.txt,template
protein_group_002082,pocket-2,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002082/protein_group_002082_pocket-2.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002082/protein_group_002082_protein.pdb,36,1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002082/protein_group_002082_pocket-2_source_ids.txt,template
protein_group_002083,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002083/protein_group_002083_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002083/protein_group_002083_protein.pdb,114,3,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002083/protein_group_002083_pocket-1_source_ids.txt,template
protein_group_002084,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002084/protein_group_002084_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002084/protein_group_002084_protein.pdb,89,3,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002084/protein_group_002084_pocket-1_source_ids.txt,template
protein_group_002085,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002085/protein_group_002085_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002085/protein_group_002085_protein.pdb,49,3,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002085/protein_group_002085_pocket-1_source_ids.txt,template
protein_group_002086,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002086/protein_group_002086_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002086/protein_group_002086_protein.pdb,54,2,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002086/protein_group_002086_pocket-1_source_ids.txt,template
protein_group_002086,pocket-2,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002086/protein_group_002086_pocket-2.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002086/protein_group_002086_protein.pdb,32,1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002086/protein_group_002086_pocket-2_source_ids.txt,template
protein_group_002087,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002087/protein_group_002087_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002087/protein_group_002087_protein.pdb,74,3,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002087/protein_group_002087_pocket-1_source_ids.txt,template
protein_group_002088,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002088/protein_group_002088_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002088/protein_group_002088_protein.pdb,18,1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002088/protein_group_002088_pocket-1_source_ids.txt,template
protein_group_002088,pocket-2,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002088/protein_group_002088_pocket-2.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002088/protein_group_002088_protein.pdb,18,1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002088/protein_group_002088_pocket-2_source_ids.txt,template
protein_group_002088,pocket-3,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002088/protein_group_002088_pocket-3.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002088/protein_group_002088_protein.pdb,17,1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002088/protein_group_002088_pocket-3_source_ids.txt,template
protein_group_002089,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002089/protein_group_002089_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002089/protein_group_002089_protein.pdb,40,1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002089/protein_group_002089_pocket-1_source_ids.txt,template
protein_group_002089,pocket-2,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002089/protein_group_002089_pocket-2.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002089/protein_group_002089_protein.pdb,24,2,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002089/protein_group_002089_pocket-2_source_ids.txt,template
protein_group_002090,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002090/protein_group_002090_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002090/protein_group_002090_protein.pdb,89,3,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002090/protein_group_002090_pocket-1_source_ids.txt,template
protein_group_002091,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002091/protein_group_002091_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002091/protein_group_002091_protein.pdb,89,3,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002091/protein_group_002091_pocket-1_source_ids.txt,template
protein_group_002092,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002092/protein_group_002092_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002092/protein_group_002092_protein.pdb,37,3,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002092/protein_group_002092_pocket-1_source_ids.txt,template
protein_group_002093,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002093/protein_group_002093_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002093/protein_group_002093_protein.pdb,87,3,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002093/protein_group_002093_pocket-1_source_ids.txt,template
protein_group_002094,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002094/protein_group_002094_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002094/protein_group_002094_protein.pdb,99,3,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002094/protein_group_002094_pocket-1_source_ids.txt,template
protein_group_002095,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002095/protein_group_002095_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002095/protein_group_002095_protein.pdb,78,3,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002095/protein_group_002095_pocket-1_source_ids.txt,template
protein_group_002096,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002096/protein_group_002096_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002096/protein_group_002096_protein.pdb,87,3,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002096/protein_group_002096_pocket-1_source_ids.txt,template
protein_group_002097,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002097/protein_group_002097_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002097/protein_group_002097_protein.pdb,37,3,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002097/protein_group_002097_pocket-1_source_ids.txt,template
protein_group_002098,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002098/protein_group_002098_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002098/protein_group_002098_protein.pdb,93,3,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002098/protein_group_002098_pocket-1_source_ids.txt,template
protein_group_002099,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002099/protein_group_002099_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002099/protein_group_002099_protein.pdb,66,1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002099/protein_group_002099_pocket-1_source_ids.txt,template
protein_group_002099,pocket-2,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002099/protein_group_002099_pocket-2.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002099/protein_group_002099_protein.pdb,33,2,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002099/protein_group_002099_pocket-2_source_ids.txt,template
protein_group_002100,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002100/protein_group_002100_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002100/protein_group_002100_protein.pdb,28,3,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002100/protein_group_002100_pocket-1_source_ids.txt,template
protein_group_002101,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002101/protein_group_002101_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002101/protein_group_002101_protein.pdb,102,3,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002101/protein_group_002101_pocket-1_source_ids.txt,template
protein_group_002102,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002102/protein_group_002102_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002102/protein_group_002102_protein.pdb,75,3,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002102/protein_group_002102_pocket-1_source_ids.txt,template
protein_group_002103,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002103/protein_group_002103_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002103/protein_group_002103_protein.pdb,75,3,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002103/protein_group_002103_pocket-1_source_ids.txt,template
protein_group_002104,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002104/protein_group_002104_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002104/protein_group_002104_protein.pdb,68,3,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002104/protein_group_002104_pocket-1_source_ids.txt,template
protein_group_002105,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002105/protein_group_002105_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002105/protein_group_002105_protein.pdb,88,3,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002105/protein_group_002105_pocket-1_source_ids.txt,template
protein_group_002106,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002106/protein_group_002106_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002106/protein_group_002106_protein.pdb,88,3,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002106/protein_group_002106_pocket-1_source_ids.txt,template
protein_group_002107,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002107/protein_group_002107_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002107/protein_group_002107_protein.pdb,90,3,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002107/protein_group_002107_pocket-1_source_ids.txt,template
protein_group_002108,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002108/protein_group_002108_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002108/protein_group_002108_protein.pdb,93,2,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002108/protein_group_002108_pocket-1_source_ids.txt,template
protein_group_002108,pocket-2,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002108/protein_group_002108_pocket-2.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002108/protein_group_002108_protein.pdb,33,1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002108/protein_group_002108_pocket-2_source_ids.txt,template
protein_group_002109,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002109/protein_group_002109_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002109/protein_group_002109_protein.pdb,45,2,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002109/protein_group_002109_pocket-1_source_ids.txt,template
protein_group_002109,pocket-2,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002109/protein_group_002109_pocket-2.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002109/protein_group_002109_protein.pdb,21,1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_002109/protein_group_002109_pocket-2_source_ids.txt,template
