source_id,smiles,molecule_name
102,CC1=C2[C@H]([C@@H]([C@]3([C@H](C[C@@H](C2(C)C)C[C@@H]1OC(=O)C)C(=C)[C@H](C[C@@H]3OC(=O)C)OC(=O)CC(C4=CC=CC=C4)N(C)C)C)OC(=O)C)OC(=O)C,2'beta-Deacetoxyaustrospicatine
103,CC1=C(C2(C)C)[C@@H](OC(C)=O)[C@H](O)[C@@]3(C)C([C@H](O)C2C[C@@H]1OC(C)=O)C([C@@H](OC(CC(NC)C4=CC=CC=C4)=O)CC3)=C,"10beta,13alpha-Diacetoxy-5alpha-[(R)-3'-methyl-amino-3'-phenylpropanoyloxy] taxa-4(20),11-diene-2alpha,9alpha-diol"
104,CC1=C(C2(C)C)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@@]3(C)C([C@H](O)C2C[C@@H]1OC(C)=O)C([C@@H](OC(CC(NC)C4=CC=CC=C4)=O)CC3)=C,Taxezopidine O
105,CC1=C(C2(C)C)[C@@H](OC(C)=O)[C@H](O)[C@@]3(C)C([C@H](O)C2C[C@@H]1OC(C)=O)C([C@@H](OC(CC(N(C)C)C4=CC=CC=C4)=O)CC3)=C,13-Deoxo-13alpha-acetyloxy-1-deoxytaxine B
106,CC1=C2[C@H]([C@@H]([C@@]3(CC[C@@H](C(=C)[C@H]3[C@@H]([C@@H](C2(C)C)C[C@@H]1OC(=O)C)O)OC(=O)C[C@H](C4=CC=CC=C4)N(C)C)C)OC(=O)C)OC(=O)C,Taxuspine Z
107,CC1=C2[C@H]([C@@H]([C@@]3(CC[C@@H](C(=C)[C@H]3[C@@H]([C@@H](C2(C)C)C[C@@H]1OC(=O)C)OC(=O)C)OC(=O)C[C@H](C4=CC=CC=C4)NC)C)O)OC(=O)C,"2alpha,10beta,13alpha-Triacetoxy-5alpha-[(R)-3'-methyl-amino-3'-phenylpropanoyloxy] taxa-4(20),11-dien-9alpha-ol"
108,CC1=C2[C@H]([C@@H]([C@@]3(CC[C@@H](C(=C)[C@H]3[C@@H]([C@@H](C2(C)C)C[C@@H]1OC(=O)C)OC(=O)C)OC(=O)CC(C4=CC=CC=C4)NC)C)OC(=O)C)OC(=O)C,"2alpha,9alpha,10beta,13alpha-Tetraacetoxy-5alpha-[(R)-3'-methylamino-3'-phenylpropanoyloxy]taxa-4(20),11-diene"
109,CC1=C(C2(C)C)[C@@H](O)[C@H](OC(C)=O)[C@@]3(C)C([C@H](OC(C)=O)C2C[C@@H]1OC(C)=O)C([C@@H](OC(CC(N(C)C)C4=CC=CC=C4)=O)CC3)=C,"2alpha,9alpha,13alpha-Triacetoxy-5alpha-[(R)-3'-dimethyl-amino-3'-phenylpropanoyloxy] taxa-4(20),11-dien-10beta-ol"
110,CC1=C2[C@H]([C@@H]([C@@]3(CC[C@@H](C(=C)[C@H]3[C@@H]([C@@H](C2(C)C)C[C@@H]1OC(=O)C)OC(=O)C)OC(=O)C[C@@H](C4=CC=CC=C4)N(C)C)C)O)OC(=O)C,"2alpha,10beta,13alpha-Triacetoxy-5alpha-[(R)-3'-dimethyl-amino-3'-phenylpropanoyloxy] taxa-4(20),11-dien-9alpha-ol"
111,CC1=C(C2(C)C)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@@]3(C)C([C@H](OC(C)=O)C2C[C@@H]1OC(C)=O)C([C@@H](OC(CC(N(C)C)C4=CC=CC=C4)=O)CC3)=C,"2alpha-Acetoxy-2',7-dideacetoxyaustro-spicatine"
112,CC1=C(C2(C)C)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@@]3(C)C([C@H](O)C2C[C@@H]1OC(C)=O)C([C@@H](OC(C(O)C(N(C)C)C4=CC=CC=C4)=O)C[C@@H]3OC(C)=O)=C,"7beta,9alpha,10beta,13alpha-Tetraacetoxy-5alpha-[(2'R-3'S)-N,N- dimethyl-3'-phenylisoseryl-oxy]taxa-4(20),11-dien-2alpha-ol"
113,CC1=C2[C@H](C([C@@]3([C@H](CC(C(=C)C3C([C@@H](C2(C)C)CC1OC(=O)C)OC(=O)C)OC(=O)C(C(C4=CC=CC=C4)N(C)C)O)OC(=O)C)C)OC(=O)C)OC(=O)C,2alpha-Acetoxy-2'beta-deacetyl-austrospicatine
114,CC1=C2[C@H]([C@@H]([C@@]3(CC[C@@H](C(=C)[C@H]3C[C@@](C2(C)C)(C[C@@H]1OC(=O)C)O)OC(=O)CC(C4=CC=CC=C4)N(C)C)C)OC(=O)C)O,"9alpha,13alpha-Diacetoxy-5alpha-[(R)-3'-dimethyl-amino-3'-phenylpropanoyloxy] taxa-4(20),11-dien-1beta,10beta-diol"
115,CC1=C(C2(C)C)[C@@H](OC(C)=O)[C@H](O)[C@@]3(C)C([C@H](O)C2(O)C[C@@H]1OC(C)=O)C([C@@H](OC(CC(N(C)C)C4=CC=CC=C4)=O)CC3)=C,13-Deoxo-13alpha-acetyloxytaxine B
116,CC1=C2[C@H]([C@@H]([C@@]3(CC[C@@H](C(=C)[C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)C)O)OC(=O)C)OC(=O)CC(C4=CC=CC=C4)N(C)C)C)OC(=O)C)OC(=O)C,"(+)-2alpha-Acetoxy-2',7-dideacetoxy-1-hydroxyaustrospicatine"
117,CC1(C)[C@@]2(O)C[C@H](OC(C)=O)C(C)=C1[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@@]3(C)[C@](C([C@@H](OC([C@H](O)[C@@H](N(C)C)C4=CC=CC=C4)=O)C[C@@H]3OC(C)=O)=C)([H])[C@@H]2OC(C)=O,2alpha-Acetoxy-2'-deacetyl-1-hydroxy-austrospicatine
118,CC1=C(C2(C)CO)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@@]3(C)C([C@H](O)C2C[C@@H]1OC(C)=O)C([C@@H](OC(CC(N(C)C)C4=CC=CC=C4)=O)CC3)=C,"9alpha,10beta,13alpha-Triacetoxy-5alpha-[(R)-3'-dimethyl-amino-3'-phenylpropanoyloxy]taxa-4(20),11-diene-2alpha,17-diol"
119,CC1=C2[C@H]([C@@H]([C@@]3(CC[C@@H](C(=C)[C@H]3[C@@H]([C@@H](C2(C)C)CC1=O)OC(=O)C)OC(=O)[C@@H]4[C@@H](N(CO4)C)C5=CC=CC=C5)C)OC(=O)C)OC(=O)C,Taxine NA-13
120,[H][C@]12C[C@H](C(C)3C)C[C@H](OC(C)=O)C(C)=C3[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@]1(C)[C@@H](OC(C)=O)C[C@H](OC(CC(N(C=O)C)C4=CC=CC=C4)=O)C2=C,"7beta,9alpha,10beta,13alpha-Tetraacetoxy-5alpha-[3'-(N-formyl-N-methylamino)-3'-phenyl-propanoyloxy]taxa-4(20),11-diene"
121,CC1=C(C2(C)C)[C@@H](OC(C)=O)[C@H](O)[C@@]3(C)C(CC2CC1=O)C([C@@H](OC(CC(N(C)C)C4=CC=CC=C4)=O)CC3)=C,10beta-Acetoxy-5alpha-[(3'-dimethylamino-3'-phenyl)-propionyloxy]moiety-9alpha-hydroxy-taxa-4(20)11-dien-13-one
122,CC1=C(C2(C)C)[C@@H](OC(C)=O)[C@H](O)[C@@]3(C)C([C@H](O)C2CC1=O)C([C@@H](OC(CC(N(C)C)C4=CC=CC=C4)=O)CC3)=C,2-Deacetoxy-10-acetoxytaxine B
123,CC1=C(C2(C)C)[C@@H](O)[C@H](OC(C)=O)[C@@]3(C)C([C@H](O)C2CC1=O)C([C@@H](OC(CC(N(C)C)C4=CC=CC=C4)=O)CC3)=C,2-Deacetoxy-9-acetoxytaxine B
124,CC1=C(C2(C)C)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@@]3(C)C([C@H](O)C2CC1=O)C([C@@H](OC(CC(N(C)C)C4=CC=CC=C4)=O)CC3)=C,2-Deacetyltaxine II
125,CC1=C(C2(C)C)[C@@H](OC(C)=O)[C@H](O)[C@@]3(C)C([C@H](OC(C)=O)C2CC1=O)C([C@@H](OC(CC(N(C)C)C4=CC=CC=C4)=O)CC3)=C,1-Deoxy-2alpha-acetoxytaxine B
126,CC1=C(C2(C)C)[C@@H](O)[C@H](OC(C)=O)[C@@]3(C)C([C@H](OC(C)=O)C2CC1=O)C([C@@H](OC(CC(N(C)C)C4=CC=CC=C4)=O)CC3)=C,"1-Deoxy-2alpha,9alpha-diacetoxy-10-deacetyl-taxine B"
127,CC1=C2[C@H]([C@@H]([C@@]3(CC[C@@H](C(=C)[C@H]3[C@@H]([C@@H](C2(C)C)CC1=O)OC(=O)C)OC(=O)[C@@H]([C@H](C4=CC=CC=C4)N(C)C)O)C)OC(=O)C)OC(=O)C,2'-Hydroxytaxine II
128,CC1=C2[C@H]([C@@H]([C@@]3([C@H](C[C@@H](C(=C)[C@H]3[C@@H]([C@@H](C2(C)C)CC1=O)OC(=O)C)OC(=O)C(C(C4=CC=CC=C4)N(C)C)O)OC(=O)C)C)OC(=O)C)OC(=O)C,"2alpha,7beta,9alpha,10beta-Tetraacetoxy-5alpha-[(2'R,3'S)-N,N-dimethyl-3'-phenylisoseryloxy]taxa-4(20),11-dien-13-one"
129,CC1=C(C2(C)C)[C@@H](OC(C)=O)[C@H](O)[C@@]3(C)C([C@H](O)C2(O)CC1=O)C([C@@H](OC(CC(N(C)C)C4=CC=CC=C4)=O)CC3)=C,Taxine B
130,CC1=C(C2(C)C)[C@@H](OC(C)=O)[C@H](O)[C@@]3(C)C([C@H](OC(C)=O)C2(O)CC1=O)C([C@@H](OC(CC(N(C)C)C4=CC=CC=C4)=O)CC3)=C,10-Acetoxytaxine B
131,CC1=C(C2(C)C)[C@@H](O)[C@H](OC(C)=O)[C@@]3(C)C([C@H](OC(C)=O)C2(O)CC1=O)C([C@@H](OC(CC(N(C)C)C4=CC=CC=C4)=O)CC3)=C,9-Acetoxytaxine B
132,CC1=C2[C@H](C[C@@]3(CC[C@@H](C(=C)[C@H]3C[C@@H](C2(C)C)[C@H](C1)O)OC(=O)C)C)O,Taxuyunnanine J
133,CC1=C2[C@H]([C@@H]([C@@]3(CC[C@@H](C(=C)[C@H]3C[C@@H](C2(C)C)[C@H]([C@@H]1OC(=O)C)O)O)C)O)OC(=O)C,"10beta,13alpha-Diacetoxytaxa-4(20),11-diene-5alpha,9alpha,14beta-triol"
134,CC1=C2[C@H]([C@@H]([C@@]3(CC[C@@H](C(=C)[C@H]3C[C@@H](C2(C)C)[C@H]([C@@H]1OC(=O)C)O)OC(=O)C)C)OC(=O)C)OC(=O)C,14beta-Hydroxytaxusin
135,CC1=C2[C@H]([C@@H]([C@@]3(CC[C@@H](C(=C)[C@H]3C[C@@H](C2(C)C)[C@H]([C@@H]1OC(=O)C)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)OC(=O)C)C)OC(=O)C)OC(=O)C,"5alpha,9alpha,10beta,13alpha-Tetraacetoxy-14beta-(beta-D-glucopyranosyloxy)taxa-4(20),11-diene"
136,CC1=C2[C@H]([C@@H]([C@@]3(CC[C@@H](C(=C)[C@H]3[C@@H]([C@@H](C2(C)C)[C@H](C1)O)O)O)C)OC(=O)C)OC(=O)C,"9alpha,10beta-Diacetoxytaxa-4(20),11-diene-2alpha,5alpha,14beta-triol"
137,CC1=C(C2(C)C)[C@@H](O)C[C@](C3[C@H](O)C2[C@@H](O)C1)(C)CC[C@H](OC(C)=O)C3=C,"2alpha,10beta,14beta-Trihydroxy-5alpha-acetoxytaxa-4(20),11-diene"
138,C[C@@]1([C@](C([C@@H](OC(C)=O)CC1[H])=C)([H])[C@@H]2O)C([H])[C@H](OC(C)=O)C3=C(C)C([H])C[C@]2(OC(C)=O)C3(C)C,"5alpha,10beta,14beta-Triacetoxytaxa-4(20),11-dien-2alpha-ol"
139,CC1=C2[C@H](C[C@@]3(CC[C@@H](C(=C)[C@H]3[C@@H]([C@@H](C2(C)C)[C@H](C1)OC(=O)C)OC(=O)C)O)C)OC,"2alpha,14beta-Diacetoxy-10beta-methoxytaxa-11,4(20)-dien-5alpha-ol"
140,CCO[C@H]1C[C@@]2(CC[C@@H](C(=C)[C@H]2[C@@H]([C@@H]3[C@H](CC(=C1C3(C)C)C)O)OC(=O)C)O)C,"2alpha-Acetoxy-10beta-ethoxytaxa-11,4(20)-diene-5alpha,14beta-diol"
141,CC1=C(C2(C)C)[C@@H](O)C[C@](C3[C@H](OC(C)=O)C2[C@@H](O)C1)(C)CC[C@H](O)C3=C,"2alpha-Acetoxytaxa-4(20),11-diene-5alpha,10beta,14beta-triol"
142,CC1=C2[C@H](C[C@@]3(CC[C@@H](C(=C)[C@H]3[C@@H]([C@@H](C2(C)C)[C@H](C1)OC(=O)C)OC(=O)C)O)C)O,Sinenxan H
143,CC[C@H](C)C(=O)O[C@H]1CC(=C2[C@H](C[C@@]3(CC[C@@H](C(=C)[C@H]3[C@@H]([C@H]1C2(C)C)OC(=O)C)O)C)O)C,Hongdoushan C
144,CC1=C2[C@H](C[C@@]3(CC[C@@H](C(=C)[C@H]3[C@@H]([C@@H](C2(C)C)[C@H](C1)OC(=O)[C@H](C)[C@H](C)O)OC(=O)C)O)C)OC(=O)C,Tasumatrol K
145,CCC(=O)O[C@H]1CC(=C2[C@H](C[C@@]3(CC[C@@H](C(=C)[C@H]3[C@@H]([C@H]1C2(C)C)OC(=O)C)O)C)O)C,Taxuyunnanine H
146,CC1=C2[C@H](C[C@@]3(CC[C@@H](C(=C)[C@H]3[C@@H]([C@@H](C2(C)C)[C@H](C1)OC(=O)C(C)C)OC(=O)C)O)C)O,Taxuyunnanine I
147,CC1=C(C2(C)C)[C@@H](OCC)C[C@](C3[C@H](OC(C)=O)C2[C@@H](OC(C)=O)C1)(C)CC[C@H](O)C3=C,"2alpha,14beta-Diacetoxy-10beta-ethoxy-taxa-11,4(20)-dien-5alpha-ol"
148,CC1=C2[C@H](C[C@@]3(CC[C@@H](C(=C)[C@H]3[C@@H]([C@@H](C2(C)C)[C@H](C1)OC(=O)C)OC(=O)C)O)C)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,"2alpha,14beta-Diacetoxy-10beta-(beta-d-glucopyranosyl)-taxa-11,4(20)-dien-5alpha-ol"
149,CC1=C(C2(C)C)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@](C3[C@H](OC(C)=O)C2[C@@H](OC(C(C)CC)=O)C1)(C)CC[C@H](O)C3=C,Taiwanxan
150,CC[C@H](C)C(=O)O[C@H]1CC(=C2[C@H](C[C@@]3(CC[C@@H](C(=C)[C@H]3[C@@H]([C@H]1C2(C)C)OC(=O)C)OC(=O)C)C)O)C,Hongdoushan A
151,CCC(=O)O[C@H]1CC(=C2[C@H](C[C@@]3(CC[C@@H](C(=C)[C@H]3[C@@H]([C@H]1C2(C)C)OC(=O)C)OC(=O)C)C)O)C,Hongdoushan B
152,CC1=C2[C@H](C[C@@]3(CC[C@@H](C(=C)[C@H]3[C@@H]([C@@H](C2(C)C)[C@H](C1)O)OC(=O)C)OC(=O)C)C)O,Taxuyunnanine G
153,O[C@@H](C([H])[C@@]1(C)[C@](C([C@@H](OC(C)=O)CC1[H])=C)([H])[C@@H]2OC(C)=O)C3=C(C)C([H])C[C@]2(OC(C(C)C)=O)C3(C)C,10-Deacetylyunnanaxane
154,CC1=C(C2(C)C)[C@@H](OC)C[C@](C3[C@H](OC(C)=O)C2[C@@H](OC(C(C)CC)=O)C1)(C)CC[C@H](OC(C)=O)C3=C,"2alpha,5alpha-Diacetoxy-10beta-methoxy-14beta-(2-methylbutanoyloxy)taxa-4(20),11-diene"
155,CC1=C2[C@H](C[C@@]3(CC[C@@H](C(=C)[C@H]3[C@@H]([C@@H](C2(C)C)[C@H](C1)OC(=O)C)OC(=O)C)OC(=O)C)C)OC(=O)C,Taxuyunnanine C
156,CCC(C)C(=O)O[C@H]1CC(=C2[C@H](C[C@@]3(CC[C@@H](C(=C)[C@H]3[C@@H]([C@H]1C2(C)C)OC(=O)C)OC(=O)C)C)OC(=O)C)C,"2alpha,5alpha,10beta-Triacetoxy-14beta-(2-methyl-butanoyloxy)taxa-4(20),11-diene"
157,CC1=C2[C@H](C[C@@]3(CC[C@@H](C(=C)[C@H]3[C@@H]([C@@H](C2(C)C)[C@H](C1)OC(=O)C(C)C(C)O)OC(=O)C)OC(=O)C)C)OC(=O)C,Yunnanxane
158,CC1=C(C2(C)C)[C@@H](OC(C)=O)C[C@](C3[C@H](OC(C)=O)C2[C@@H](OC(CC)=O)C1)(C)CC[C@H](OC(C)=O)C3=C,"2alpha,5alpha,10beta-Triacetoxy-14beta-propionyloxy-taxa-4(20),11-diene"
159,CC1=C(C2(C)C)[C@@H](OC(C)=O)C[C@](C3[C@H](OC(C)=O)C2[C@@H](OC(C(C)C)=O)C1)(C)CC[C@H](OC(C)=O)C3=C,"2alpha,5alpha,10beta-Triacetoxytaxa-14beta-isobutyryl-oxytaxa-4(20),11-dien-7beta-ol"
160,CC1=C2[C@H](C[C@@]3(CC[C@@H](C(=C)[C@H]3[C@@H]([C@@H](C2(C)C)[C@H](C1)OC(=O)C)OC(=O)C)OC(=O)C)C)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,"2alpha,5alpha,14beta-Triacetoxy-10beta-(beta-D-gluco-pyranosyl)taxa-4(20),11-diene"
161,CC1=C2[C@@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O3)C[C@]4(C)CC[C@H](OC(C)=O)C([C@H]4[C@H](OC(C)=O)[C@H]([C@@H](OC(C(CC)C)=O)C1)C2(C)C)=C,"2alpha,5alpha-Diacetoxy-10beta-(beta-D-gluco-pyranosyl)-14beta-[(S)-2'-methyl-butanoyloxy]taxa-4(20),11-diene"
162,CC1=C2[C@@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O3)C[C@]4(C)CC[C@H](OC(C)=O)C([C@H]4[C@H](OC(C)=O)[C@H]([C@@H](OC([C@H]([C@H](O)C)C)=O)C1)C2(C)C)=C,10-Deacetyl-10beta-(beta-D-glucopyranosyl)yunnanxane
163,CC1=C(C2(C)C)[C@@H](OC(C)=O)[C@H](O)[C@](C3[C@H](OC(C)=O)C2[C@@H](OC(C(C)CC)=O)C1)(C)CC[C@H](OC(C)=O)C3=C,"2alpha,5alpha,10beta-Triacetoxy-14beta-(2-methyl-butanoyloxy)taxa-4(20),11-dien-9alpha-ol"
164,CC1=C2[C@H]([C@@H]([C@@]3(CC[C@@H](C(=C)[C@H]3[C@@H]([C@@H](C2(C)C)[C@H](C1)O)OC(=O)C)O)C)OC(=O)C)OC(=O)C,"2alpha,9alpha,10beta-Triacetoxytaxa-4(20),11-diene-5alpha,14beta-diol"
165,CC1=C2[C@H]([C@@H]([C@@]3(CC[C@@H](C(=C)[C@H]3[C@@H]([C@@H](C2(C)C)[C@H](C1)OC(=O)C)OC(=O)C)OC(=O)C)C)OC(=O)C)OC(=O)C,"2alpha,5alpha,9alpha,10beta,14beta-Pentaacetoxytaxa-4(20),11-diene"
166,CC1=C(C2(C)C)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@](C3[C@H](OC(C)=O)C2[C@@H](OC(C(C)CC)=O)C1)(C)CC[C@H](OC(C)=O)C3=C,Taxuyunnanine B
167,CC1=C(C2(C)C)[C@@H](OC(C)=O)C[C@](C3[C@H](OC(C)=O)C2[C@@H](OC(C)=O)C1)(C)[C@@H](O)C[C@H](OC(C)=O)C3=C,"2alpha,5alpha,10beta,14beta-Tetraacetoxytaxa-4(20),11-dien-7beta-ol"
168,CC1=C2[C@@H](OC(C)=O)[C@H](O)[C@]3(C)CC[C@H](O)[C@]4(CO4)C3[C@H](O)C(C[C@@H]1OC(C)=O)C2(C)C,"10beta,13alpha-Diacetoxy-4beta,20-epoxytax-11-ene-2alpha,5alpha,9alpha-triol"
169,CC1=C2[C@@H](OC(C)=O)[C@H](O)[C@]3(C)[C@@H](O)C[C@H](OC(C)=O)[C@]4(CO4)C3[C@H](O)C(C[C@@H]1OC(C)=O)(O)C2(C)C,"1beta-Hydroxy-2,7,9-trideacetylbaccatin I"
170,CC1=C2[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@]3(C)[C@@H](O)C[C@H](O)[C@]4(CO4)C3[C@H](OC(C)=O)C(C[C@@H]1OC(C)=O)(O)C2(C)C,Taxumariene F
171,CC1=C2[C@@H](OC(C)=O)[C@H](O)[C@]3(C)[C@@H](OC(C)=O)C[C@H](O)[C@]4(CO4)C3[C@H](OC(C)=O)C(C[C@@H]1OC(C)=O)(O)C2(C)C,Taxumariene G
172,CC1=C2[C@@H](O)[C@H](O)[C@]3(C)[C@@H](O)C[C@H](OC(C)=O)[C@]4(CO4)C3[C@H](OC(C)=O)C(C[C@@H]1OC(C)=O)(O)C2(C)C,Taxumairol C
173,CC1=C2[C@@H](OC(C)=O)[C@H](O)[C@]3(C)[C@@H](O)C[C@H](OC(C)=O)[C@]4(CO4)C3[C@H](OC(C)=O)C(C[C@@H]1O)(O)C2(C)C,"2alpha,5alpha,10beta-Triacetoxy-4beta,20-epoxytax-11-ene-1beta,7beta,9alpha,13alpha-tetraol"
174,CC1=C2[C@H]([C@@H]([C@@]3([C@H](C[C@@H]([C@@]4([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)C)O)OC(=O)C)CO4)OC(=O)C)O)C)O)OC(=O)C,Taxumairol B
175,CC1=C2[C@@H](OC(C)=O)[C@H](O)[C@]3(C)[C@@H](O)C[C@H](OC(C)=O)[C@]4(CO4)C3[C@H](OC(C)=O)C(C[C@@H]1OC(C)=O)(O)C2(C)C,"1beta-Hydroxy-2alpha,7beta-deacetylbaccatin I"
176,CC1=C2[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@]3(C)[C@@H](OC(C)=O)CC(O)[C@]4(CO4)C3[C@H](OC(C)=O)C(C[C@@H]1OC(C)=O)(O)C2(C)C,Taxuspine V
177,CC1=C2[C@H]([C@@H]([C@@]3([C@H](C[C@@H]([C@]4([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)C)O)OC(=O)C)CO4)OC(=O)C)O)C)OC(=O)C)OC(=O)C,"2alpha,5alpha,9alpha,10beta,13alpha-Pentaacetoxy-4beta,20-epoxytax-11-ene-1beta,7beta-diol"
178,CC1=C2[C@@H](OC(C)=O)[C@H](O)[C@]3(C)[C@@H](OC(C)=O)CC(OC(C)=O)[C@]4(CO4)C3[C@H](OC(C)=O)C(C[C@@H]1OC(C)=O)(O)C2(C)C,"2alpha,5alpha,7beta,10beta,13alpha-Pentaacetoxy-4beta,20-epoxytax-11-ene-1beta,9alpha-diol"
179,O(C(C)=O)[C@@H]1[C@@]2([C@@]3([C@](C)([C@@H](OC(C)=O)[C@H](O)C=4C(C)(C)[C@](O)([C@H]3OC(C)=O)C[C@H](OC(C)=O)C4C)[C@@H](OC(C)=O)C1)[H])CO2,Taxumairol D
180,O(C(C)=O)[C@@H]1[C@@]2([C@@]3([C@](C)([C@@H](OC(C)=O)[C@H](OC(C)=O)C=4C(C)(C)[C@](O)([C@H]3OC(C)=O)C[C@H](O)C4C)[C@@H](OC(C)=O)C1)[H])CO2,Taxumairol F
181,CC1=C2[C@H]([C@@H]([C@@]3([C@H](C[C@@H]([C@@]4([C@H]3[C@@H]([C@H](C2(C)C)C[C@@H]1OC(=O)C)OC(=O)C)CO4)OC(=O)C)OC(=O)C)C)OC(=O)C)OC(=O)C,Baccatin I
182,CC1=C2C(C([C@@]3(C(CC([C@]4(C3C([C@@](C2(C)C)(CC1OC(=O)C)O)OC(=O)C)CO4)OC(=O)C)OC(=O)C)C)OC(=O)C)OC(=O)C,1beta-Hydroxybaccatin I
183,CC1=C2[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@]3(C)[C@@H](OC(C)=O)C[C@H](O)[C@@]4(CO4)C3[C@H](OC(C)=O)C(C[C@@H]1OC(C)=O)(OC(C)=O)C2(C)C,1β-Acetoxy-5α-deacetylbaccatin I
184,CC1=C2[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@]3(C)[C@@H](OC(C)=O)C[C@H](OC(C)=O)[C@@]4(CO4)C3[C@H](OC(C)=O)C(C[C@@H]1OC(C)=O)(OC(C)=O)C2(C)C,1β-Acetoxybaccatin I
185,CC1=C2[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@]3(C)[C@H](O)C[C@H](OC(C)=O)[C@@]4(CO4)C3[C@H](OC(C)=O)[C@@](C[C@@H]1OC(C)=O)(O)C2(C)C,"1β,7α-Dihydroxy-7β-deacetoxybaccatin I"
186,CC1=C2[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@]3(C)[C@H](OC(C)=O)C[C@H](O)[C@@]4(CO4)C3[C@H](O)C([C@@H](O)[C@@H]1OC(C)=O)C2(C)C,"9α,10β-Diacetoxy-4β,20-epoxytax-11-ene-2α,5α,14β-triol"
187,CC1=C2[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@]3(C)[C@H](OC(C)=O)C[C@H](OC(/C=C/C4=CC=CC=C4)=O)[C@@]5(CO5)C3[C@H](OC(C)=O)[C@@](C[C@@H]1OC(C)=O)(O)C2(C)C,"2α,7β,9α,10β,13α-Pentaacetoxy-5α-cinnamoyl-oxy-4β,20-epoxytax-11-en-1β-ol"
188,CC1=C2[C@@H](OC(CO)=O)[C@H](OC(C)=O)[C@]3(C)[C@H](OC(C)=O)C[C@H](OC(C)=O)[C@@]4(CO4)C3[C@H](OC(C)=O)[C@@](C[C@@H]1OC(C)=O)(O)C2(C)C,1β-Hydroxy-10β-deacetyl-10β-glycolyl-baccatin I
189,CC1=C2[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@]3(C)[C@H](OC(C)=O)C[C@H](OC(CC(N(C)C)C4=CC=CC=C4)=O)[C@@]5(CO5)C3[C@H](OC(C)=O)C(C[C@@H]1OC(C)=O)C2(C)C,"7β-Acetoxy-9-acetylspicataxineC-11,12-epoxides"
190,C[C@]1(O2)[C@]32[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@]4(C)CC[C@H](O)C(C4[C@H](OC(C)=O)C(CC1=O)C3(C)C)=O,"Taxinine A-11,12-epoxide"
191,C[C@]1(O2)[C@]32[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@]4(C)[C@@H](OC(C)=O)C[C@H](O)C(C4[C@H](OC(C)=O)C(CC1=O)C3(C)C)=O,"Decinnamoyltaxinine B-11,12-oxide2α,9α,10β-Triacetoxy-11,12-epoxy-5α-(β-D-glucopyranosyloxy)tax-4(20)-en-13-one"
192,C[C@]1(O2)[C@]32[C@@H](OC(C)=O)[C@H](O)[C@]4(C)CC[C@H](OC(/C=C/C5=CC=CC=C5)=O)C(C4[C@H](OC(C)=O)C(CC1=O)C3(C)C)=O,"2α,10β-Diacetoxy-5α-cinnamoyloxy-11,12-epoxy-9α-hydroxytax-4(20)-en-13-one"
193,C[C@]1(O2)[C@]32[C@@H](O)[C@H](OC(C)=O)[C@]4(C)CC[C@H](OC(/C=C/C5=CC=CC=C5)=O)C(C4[C@H](OC(C)=O)C(CC1=O)C3(C)C)=O,"2α,9α-Diacetoxy-5α-cinnamoyloxy-11,12-epoxy-10β-hydroxytax-4(20)-en-13-one"
194,C[C@]1(O2)[C@]32[C@@H](O)[C@H](OC(C)=O)[C@]4(C)[C@@H](O)C[C@H](OC(/C=C/C5=CC=CC=C5)=O)C(C4[C@H](OC(C)=O)C(CC1=O)C3(C)C)=O,"2α,7β,9α-Triacetoxy-5α-cinnamoyloxy-11,12-10β-hydroxytax-4(20)-en-13-one"
